Time,S_Up_var_CST,S_Up_var_Coal,S_Up_var_Wind,S_Up_var_Gas,Status_var_CST,Status_var_Coal,Status_var_Wind,Status_var_Gas,S_Down_var_CST,S_Down_var_Coal,S_Down_var_Wind,S_Down_var_Gas,Pwr_Gen_var_CST,Pwr_Gen_var_Coal,Pwr_Gen_var_Wind,Pwr_Gen_var_Gas,Angle_bus_var_System,unserved_demand_System,Pwr_curtailed_CST,Pwr_curtailed_Wind,Objective_Subhorizon_1,Fixed_Cost_Subhorizon_1,Startup_Cost_Subhorizon_1,Shutdown_Cost_Subhorizon_1,Variable_Cost_Subhorizon_1,Unserved_Demand_Cost_Subhorizon_1,Objective_Subhorizon_2,Fixed_Cost_Subhorizon_2,Startup_Cost_Subhorizon_2,Shutdown_Cost_Subhorizon_2,Variable_Cost_Subhorizon_2,Unserved_Demand_Cost_Subhorizon_2,Objective_Subhorizon_3,Fixed_Cost_Subhorizon_3,Startup_Cost_Subhorizon_3,Shutdown_Cost_Subhorizon_3,Variable_Cost_Subhorizon_3,Unserved_Demand_Cost_Subhorizon_3
1,-0.0,7.0,-0.0,4.0,-0.0,7.0,-0.0,4.0,-0.0,0.0,-0.0,-0.0,0.0,10500.0,9567.086222507001,2000.0,0.0,0.0,0.0,157.78877749299863,1.3081917383891018e8,146600.0,2.14e6,151000.0,8.261105875897855e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.0,-0.0,-0.0,-0.0,-0.0,7.0,-0.0,4.0,-0.0,0.0,-0.0,0.0,0.0,10500.0,8633.504766919348,2000.0,0.0,0.0,0.0,830.6552330806517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-0.0,-0.0,-0.0,-0.0,-0.0,7.0,-0.0,1.0,-0.0,-0.0,-0.0,3.0,0.0,10514.686771457913,9053.175,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-0.0,-0.0,-0.0,-0.0,-0.0,7.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,10500.0,8363.478323002588,500.0,0.0,0.0,0.0,132.79167699741265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-0.0,-0.0,-0.0,-0.0,-0.0,7.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,10738.168429599787,7847.55,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-0.0,-0.0,-0.0,-0.0,-0.0,7.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,11241.661574135996,7626.569999999999,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-0.0,-0.0,-0.0,-0.0,-0.0,7.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,12541.219425551339,7442.8949999999995,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-0.0,-0.0,-0.0,-0.0,-0.0,7.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,13379.86597452991,8282.6625,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-0.0,1.0,-0.0,-0.0,-0.0,6.0,-0.0,-0.0,-0.0,2.0,-0.0,1.0,0.0,15247.478532069701,8675.564999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,-0.0,-0.0,-0.0,1.0,-0.0,6.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,12518.799059032237,11200.785,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,-0.0,-0.0,-0.0,-0.0,-0.0,6.0,-0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,11258.799059032237,11738.231806749853,500.0,0.0,0.0,0.0,114.9556932501473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,-0.0,-0.0,-0.0,-0.0,-0.0,6.0,-0.0,0.0,-0.0,-0.0,-0.0,1.0,0.0,11447.375088153709,10932.794232559088,0.0,0.0,0.0,0.0,30.825767440912387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,-0.0,-0.0,-0.0,2.0,-0.0,6.0,-0.0,2.0,-0.0,-0.0,-0.0,-0.0,0.0,12707.375088153709,8360.9925,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,-0.0,-0.0,-0.0,-0.0,-0.0,6.0,-0.0,2.0,-0.0,-0.0,-0.0,-0.0,0.0,13967.375088153707,6186.9,2066.3525851880167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,-0.0,-0.0,-0.0,1.0,-0.0,6.0,-0.0,3.0,-0.0,-0.0,-0.0,-0.0,0.0,14691.436119422351,5952.0675,1951.4495211060876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,-0.0,-0.0,-0.0,4.0,-0.0,5.0,-0.0,7.0,-0.0,1.0,-0.0,-0.0,0.0,13470.0,4337.632500000001,5751.449521106088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
