Hour,GasGeneration_MW
0,2000
1,2000
2,500
3,500
4,500
5,500
6,500
7,500
8,0
9,500
10,500
11,0
12,1000
13,2066.35258518802
14,1951.44952110609
15,5751.44952110609
16,9876.39859855667
17,5569.78583428255
18,1000
19,1074.52733875408
20,2162.35222734033
21,1000
22,0
23,1500
24,3901.16662445201
25,1000
26,500
27,500
28,0
29,500
30,500
31,0
32,1000
33,1000
34,674.418952212219
35,500
36,500
37,500
38,500
39,500
40,500
41,1532.32238152417
42,5332.32238152417
43,7749.83438531335
44,4992.95065515976
45,500
46,600
47,500
48,0
49,0
50,0
51,0
52,0
53,3500
54,6497.51145842626
55,7485.32273869217
56,7500
57,4988.94673731104
58,2303.80897808798
59,1000
60,1000
61,1000
62,1000
63,1500
64,4339.92829140023
65,8939.92829140023
66,5278.21017100503
67,676.416031322904
68,1042.96288752246
69,500
70,1000
71,1340.24666346064
72,1318.70781805637
73,961.168433754037
74,744.378002957816
75,500
76,500
77,3408.29833812591
78,7008.29833812591
79,7948.05941395618
80,7014.91622210942
81,5587.88170085707
82,1987.88170085707
83,500
84,500
85,500
86,500
87,637.835403154451
88,1000
89,1000
90,1450.18018597361
91,2650.18018597361
92,2075.8971591215
93,1145.94493932625
94,645.944939326248
95,500
96,2699.38983464041
97,2000
98,500
99,500
100,500
101,500
102,848.643341018056
103,1656.5405923981
104,1971.68347960295
105,1963.4797813938
106,1000
107,0
108,500
109,500
110,500
111,2923.85542742957
112,5923.85542742957
113,3787.99992105038
114,787.999921050381
115,814.370174902688
116,1439.77208389918
117,1022.86390890526
118,961.406647533981
119,500
